cond,seed,axis,factor,progress
nominal,3,speed,1.025,1.0
nominal,3,speed,1.05,1.0
nominal,3,speed,1.075,1.0
nominal,3,speed,1.1,0.9991854365079487
nominal,3,speed,1.125,1.0
nominal,3,speed,1.15,1.0
nominal,3,speed,1.175,0.24866263888888931
nominal,3,speed,1.2000000000000002,0.13027476190476175
nominal,3,speed,1.225,0.4444183333333316
nominal,3,speed,1.25,0.44661706349206226
nominal,3,speed,1.275,0.44854095238095004
nominal,3,speed,1.3,0.45019000000000237
nominal,4,speed,0.7,0.13851999999999978
nominal,4,speed,0.725,0.1394819444444446
nominal,4,speed,0.75,0.14016904761904755
nominal,4,speed,0.7749999999999999,0.2641224603174612
nominal,4,speed,0.7999999999999999,0.2649469841269837
nominal,4,speed,0.825,0.26529053571428485
nominal,4,speed,0.85,0.2663211904761914
nominal,4,speed,0.875,0.2669395833333338
nominal,4,speed,0.9,0.2671457142857142
nominal,4,speed,0.925,0.6749758035714267
nominal,4,speed,0.95,1.0
nominal,4,speed,0.9750000000000001,1.0
nominal,4,speed,1.0,1.0
nominal,4,speed,1.025,1.0
nominal,4,speed,1.05,1.0
nominal,4,speed,1.075,1.0
nominal,4,speed,1.1,1.0
nominal,4,speed,1.125,1.0
nominal,4,speed,1.15,1.0
nominal,4,speed,1.175,0.44404042658730253
nominal,4,speed,1.2000000000000002,0.44524285714285644
nominal,4,speed,1.225,0.4477851388888871
nominal,4,speed,1.25,0.4483348214285702
nominal,4,speed,1.275,0.45029306547618814
nominal,4,speed,1.3,0.4073147619047637
dr,0,speed,0.7,0.26549666666666655
dr,0,speed,0.725,0.26700829365079304
dr,0,speed,0.75,0.2669395833333348
dr,0,speed,0.7749999999999999,0.38979363095238245
dr,0,speed,0.7999999999999999,1.0
dr,0,speed,0.825,1.0
dr,0,speed,0.85,1.0
dr,0,speed,0.875,1.0
dr,0,speed,0.9,1.0
dr,0,speed,0.925,1.0
dr,0,speed,0.95,1.0
dr,0,speed,0.9750000000000001,1.0
dr,0,speed,1.0,1.0
dr,0,speed,1.025,1.0
dr,0,speed,1.05,1.0
dr,0,speed,1.075,1.0
dr,0,speed,1.1,1.0
dr,0,speed,1.125,1.0
dr,0,speed,1.15,0.9323990079365134
dr,0,speed,1.175,0.44404042658730253
dr,0,speed,1.2000000000000002,0.44524285714285644
dr,0,speed,1.225,0.44610173611110937
dr,0,speed,1.25,0.4483348214285702
dr,0,speed,1.275,0.45029306547618814
dr,0,speed,1.3,0.4073147619047637
dr,1,speed,0.7,0.266458611111111
dr,1,speed,0.725,0.26700829365079304
dr,1,speed,0.75,0.3864955357142886
dr,1,speed,0.7749999999999999,0.3876636111111126
dr,1,speed,0.7999999999999999,0.3880758730158724
dr,1,speed,0.825,0.3888660416666648
dr,1,speed,0.85,0.42167521825396703
dr,1,speed,0.875,0.6396930555555488
dr,1,speed,0.9,1.0
dr,1,speed,0.925,1.0
dr,1,speed,0.95,1.0
dr,1,speed,0.9750000000000001,1.0
dr,1,speed,1.0,1.0
dr,1,speed,1.025,1.0
dr,1,speed,1.05,1.0
dr,1,speed,1.075,1.0
dr,1,speed,1.1,1.0
dr,1,speed,1.125,1.0
dr,1,speed,1.15,1.0
dr,1,speed,1.175,1.0
dr,1,speed,1.2000000000000002,1.0
dr,1,speed,1.225,0.4444183333333316
dr,1,speed,1.25,0.44661706349206226
dr,1,speed,1.275,0.446788839285712
dr,1,speed,1.3,0.4484035317460341
dr,2,speed,0.7,0.2674205555555555
dr,2,speed,0.725,0.3865642460317477
dr,2,speed,0.75,0.38752619047619336
dr,2,speed,0.7749999999999999,0.38872862103174755
dr,2,speed,0.7999999999999999,0.38917523809523746
dr,2,speed,0.825,0.38999976190476005
dr,2,speed,0.85,0.6751475793650746
dr,2,speed,0.875,0.6757659722222148
dr,2,speed,0.9,1.0
dr,2,speed,0.925,1.0
dr,2,speed,0.95,1.0
dr,2,speed,0.9750000000000001,1.0
dr,2,speed,1.0,1.0
dr,2,speed,1.025,1.0
dr,2,speed,1.05,1.0
dr,2,speed,1.075,1.0
dr,2,speed,1.1,1.0
dr,2,speed,1.125,1.0
dr,2,speed,1.15,1.0
dr,2,speed,1.175,0.44404042658730253
dr,2,speed,1.2000000000000002,0.4073147619047613
dr,2,speed,1.225,0.4444183333333316
dr,2,speed,1.25,0.44661706349206226
dr,2,speed,1.275,0.44854095238095004
dr,2,speed,1.3,0.45019000000000237
dr,3,speed,0.7,0.266458611111111
dr,3,speed,0.725,0.26700829365079304
dr,3,speed,0.75,0.38752619047619336
dr,3,speed,0.7749999999999999,0.38872862103174755
dr,3,speed,0.7999999999999999,0.38917523809523746
dr,3,speed,0.825,0.38999976190476005
dr,3,speed,0.85,0.42167521825396703
dr,3,speed,0.875,0.9415031249999875
dr,3,speed,0.9,0.9411939285714229
dr,3,speed,0.925,1.0
dr,3,speed,0.95,1.0
dr,3,speed,0.9750000000000001,1.0
dr,3,speed,1.0,1.0
dr,3,speed,1.025,1.0
dr,3,speed,1.05,1.0
dr,3,speed,1.075,1.0
dr,3,speed,1.1,1.0
dr,3,speed,1.125,1.0
dr,3,speed,1.15,1.0
dr,3,speed,1.175,1.0
dr,3,speed,1.2000000000000002,0.44359380952380884
dr,3,speed,1.225,0.4444183333333316
dr,3,speed,1.25,0.44661706349206226
dr,3,speed,1.275,0.44854095238095004
dr,3,speed,1.3,0.45019000000000237
dr,4,speed,0.7,0.2645347222222221
dr,4,speed,0.725,0.2650156944444438
dr,4,speed,0.75,0.26590892857143
dr,4,speed,0.7749999999999999,0.267317490079366
dr,4,speed,0.7999999999999999,0.2671457142857139
dr,4,speed,0.825,1.0
dr,4,speed,0.85,1.0
dr,4,speed,0.875,1.0
dr,4,speed,0.9,1.0
dr,4,speed,0.925,1.0
dr,4,speed,0.95,1.0
